time_stamp, lat, lon, pitch, roll, heading, serial_number, cam_position
1.642759926580110788e+09,4.574560782687068183e+01,5.086098167589902630e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.462618781328202999e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759926580481052e+09,4.574560780527194481e+01,5.086098170675437125e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.646261470842361518e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759926780114889e+09,4.574559615996480488e+01,5.086099834290743082e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.460418736219406810e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759926780485630e+09,4.574559613833825011e+01,5.086099837380250399e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.646041465806961241e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759926980119705e+09,4.574558449301719776e+01,5.086101500997543212e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.458218683242799329e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759926980489254e+09,4.574558447146018381e+01,5.086101504077117141e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.645821461820602281e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759927180124760e+09,4.574557222563982606e+01,5.086102867498397906e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.463403742790222850e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759927180494785e+09,4.574557220282157743e+01,5.086102869965235307e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.646341484355926923e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759927380128622e+09,4.574555989206830731e+01,5.086104200857480606e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.469403858661652862e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759927380498648e+09,4.574555986925005868e+01,5.086104203324318007e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.646941495943069640e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759927580133677e+09,4.574554755842328291e+01,5.086105534224510727e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.475404010295866897e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759927580503464e+09,4.574554753561973541e+01,5.086105536689758289e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.647541510391235420e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759927780138016e+09,4.574553522482236190e+01,5.086106867586772218e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.481404140472412223e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759927780508041e+09,4.574553520200412038e+01,5.086106870053609619e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648141524124145576e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759927980143070e+09,4.574552289117733750e+01,5.086108200953801450e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.487404292106629100e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759927980512619e+09,4.574552286838849824e+01,5.086108203417460061e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648741537857055732e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759928180147409e+09,4.574550995708505496e+01,5.086109684438904210e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.489080884456635090e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759928180517197e+09,4.574550993304888635e+01,5.086109687212308827e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648908310317992800e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759928380151749e+09,4.574549695680300943e+01,5.086111184471448610e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.490280910491944155e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759928380521536e+09,4.574549693276683371e+01,5.086111187244852339e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649028312921524275e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759928580156803e+09,4.574548395647446597e+01,5.086112684509356718e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.491480940818786394e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759928580526590e+09,4.574548393243829736e+01,5.086112687282761335e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649148315954208215e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759928780160666e+09,4.574547095622341430e+01,5.086114184538324423e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.492680963993072396e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759928780531406e+09,4.574547093212525084e+01,5.086114187318881541e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649268318843841143e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759928980165958e+09,4.574545795587937391e+01,5.086115684578021323e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.493880995750427587e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759928980535746e+09,4.574545793184320530e+01,5.086115687351425940e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649388321447372618e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759929180170536e+09,4.574544495558182433e+01,5.086117184612353626e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.495081023216246763e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759929180540085e+09,4.574544493156115266e+01,5.086117187383969451e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649508324050902957e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759929380174875e+09,4.574543195529977879e+01,5.086118684644898025e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.496281049251555828e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759929380544662e+09,4.574543193126361018e+01,5.086118687418301754e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649628326797485443e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759929580179214e+09,4.574541895501772615e+01,5.086120184677441536e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.497481075286864893e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759929580549955e+09,4.574541893091956979e+01,5.086120187457998654e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649748329973220962e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759929780184031e+09,4.574540595470468674e+01,5.086121684713561741e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.498681104183197021e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759929780554533e+09,4.574540593062202731e+01,5.086121687492330956e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649868332719802879e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759929980189323e+09,4.574539295436064634e+01,5.086123184753258641e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.499881135940552213e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759929980558634e+09,4.574539293035547161e+01,5.086123187523086564e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649988335180282775e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759930180193186e+09,4.574537935346563700e+01,5.086124534621238702e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.496396136283874512e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759930180563211e+09,4.574537932818055452e+01,5.086124537088076103e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649638873577117693e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759930380198479e+09,4.574536568643728884e+01,5.086125867989857774e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.492396030426024822e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759930380568504e+09,4.574536566115220637e+01,5.086125870456695175e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649238862991333008e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759930580202818e+09,4.574535201947411167e+01,5.086127201352119265e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.488395943641663166e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759930580572605e+09,4.574535199420531484e+01,5.086127203817367715e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648838854789734114e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759930780206680e+09,4.574533835254351288e+01,5.086128534711201965e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.484395866394044106e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759930780577660e+09,4.574533832719325943e+01,5.086128537184396947e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648438844680786133e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759930980211973e+09,4.574532468551516473e+01,5.086129868079821037e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.480395760536194416e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759930980581760e+09,4.574532466024636790e+01,5.086129870545069487e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648038836479187239e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759931180216789e+09,4.574531101851940207e+01,5.086131501806576694e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.480901083946227459e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759931180586576e+09,4.574531099325060524e+01,5.086131504888137478e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648090293288231010e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759931380220652e+09,4.574529735158880328e+01,5.086133168505430291e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.481901103258132935e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759931380590677e+09,4.574529732630372081e+01,5.086133171588977042e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648190295338630449e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759931580225945e+09,4.574528368456045513e+01,5.086134835216204131e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.482901129722594646e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759931580595732e+09,4.574528365929166540e+01,5.086134838297764027e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648290297865867728e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759931780230522e+09,4.574527001758098521e+01,5.086136501921018294e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.483901152610778240e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759931780600309e+09,4.574526999231219548e+01,5.086136505002578190e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648390300154686088e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759931980234861e+09,4.574525635061780804e+01,5.086138168623844713e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.484901174306870075e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759931980604649e+09,4.574525632534901121e+01,5.086138171705404609e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648490302324295271e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759932180239439e+09,4.574524208284020688e+01,5.086139835328658876e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.487883831024169012e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759932180609226e+09,4.574524205633878893e+01,5.086139838410218772e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648788974761962436e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642759932380243778e+09,4.574522774919589096e+01,5.086141502031485295e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.491083900451658906e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642759932380613565e+09,4.574522772269447302e+01,5.086141505113045191e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.649108981704711709e+02,2.101994900000000000e+07,4.000000000000000000e+00
